timestamp_utc,elapsed_s,mode,led,polar_deg,azimuth_deg,sample_index,dac_code,target_current_a,led_current_a,bridge_temperature_c,sgt_tia_v,sol_tia_v,external_pd_v
2026-07-27T16:50:57.003422+00:00,0.002274,open,rgb,,,0,0,,-0.000198864,21.6033,4.898069382,4.904666424,1.651238084
2026-07-27T16:50:58.003958+00:00,1.002441,open,rgb,,,1,0,,-0.000227273,21.6033,4.898291111,4.904915810,1.651116490
2026-07-27T16:50:59.003930+00:00,2.002574,open,rgb,,,2,0,,-0.000198864,21.6033,4.898425579,4.905068398,1.651196837
2026-07-27T16:51:00.004008+00:00,3.002689,open,rgb,,,3,0,,-0.000227273,21.6033,4.898379326,4.905060291,1.651164412
2026-07-27T16:51:01.004141+00:00,4.002807,open,rgb,,,4,0,,-0.000227273,21.6033,4.898345470,4.905027866,1.651013017
2026-07-27T16:51:02.004350+00:00,5.002920,open,rgb,,,5,0,,-0.000227273,21.6033,4.898322105,4.904972553,1.651191473
2026-07-27T16:51:03.004550+00:00,6.003044,open,rgb,,,6,0,,-0.000198864,21.6033,4.898309231,4.904940605,1.651195168
2026-07-27T16:51:04.004532+00:00,7.003168,open,rgb,,,7,0,,-0.000198864,21.6033,4.898280144,4.904923439,1.651268363
2026-07-27T16:51:05.004699+00:00,8.003281,open,rgb,,,8,0,,-0.000227273,21.6033,4.898275852,4.904915810,1.651228309
2026-07-27T16:51:06.004670+00:00,9.003394,open,rgb,,,9,0,,-0.000198864,21.6053,4.898265839,4.904902458,1.651217103
2026-07-27T16:51:07.004497+00:00,10.003507,open,rgb,,,10,0,,-0.000198864,21.6033,4.898264408,4.904891014,1.651249290
2026-07-27T16:51:08.004887+00:00,11.003635,open,rgb,,,11,0,,-0.000227273,21.6033,4.898248672,4.904903889,1.651026011
2026-07-27T16:51:09.005222+00:00,12.003807,open,rgb,,,12,0,,-0.000198864,21.6053,4.898245811,4.904892921,1.651266694
2026-07-27T16:51:10.005212+00:00,13.003928,open,rgb,,,13,0,,-0.000198864,21.6033,4.898225784,4.904861927,1.651361942
2026-07-27T16:51:11.005375+00:00,14.004044,open,rgb,,,14,0,,-0.000198864,21.6033,4.898211479,4.904870510,1.651271820
2026-07-27T16:51:12.005461+00:00,15.004161,open,rgb,,,15,0,,-0.000198864,21.6053,4.898203373,4.904848099,1.651295543
2026-07-27T16:51:13.005638+00:00,16.004290,open,rgb,,,16,0,,-0.000227273,21.6033,4.898199081,4.904835224,1.651173949
2026-07-27T16:51:14.005785+00:00,17.004420,open,rgb,,,17,0,,-0.000227273,21.6053,4.898182392,4.904852390,1.651034951
2026-07-27T16:51:15.005879+00:00,18.004541,open,rgb,,,18,0,,-0.000227273,21.6053,4.898191452,4.904842377,1.651204705
2026-07-27T16:51:16.006036+00:00,19.004664,open,rgb,,,19,0,,-0.000227273,21.6053,4.898193359,4.904839993,1.651330948
2026-07-27T16:51:17.005694+00:00,20.004780,open,rgb,,,20,0,,-0.000227273,21.6053,4.898194790,4.904840469,1.651406050
2026-07-27T16:51:18.007419+00:00,21.004903,open,rgb,,,21,0,,-0.000227273,21.6053,4.898192406,4.904834270,1.651344061
2026-07-27T16:51:19.006265+00:00,22.005109,open,rgb,,,22,0,,-0.000198864,21.6053,4.898181438,4.904840946,1.651239038
2026-07-27T16:51:20.006579+00:00,23.005227,open,rgb,,,23,0,,-0.000227273,21.6072,4.898184776,4.904831886,1.650524020
2026-07-27T16:51:21.006571+00:00,24.005343,open,rgb,,,24,0,,-0.000227273,21.6053,4.898191929,4.904824734,1.651106477
2026-07-27T16:51:22.006600+00:00,25.005458,open,rgb,,,25,0,,-0.000227273,21.6053,4.898192883,4.904803753,1.651048183
2026-07-27T16:51:23.006702+00:00,26.005579,open,rgb,,,26,0,,-0.000198864,21.6053,4.898181438,4.904809952,1.651347518
2026-07-27T16:51:24.006972+00:00,27.005703,open,rgb,,,27,0,,-0.000227273,21.6053,4.898176670,4.904807091,1.651436806
2026-07-27T16:51:25.007202+00:00,28.005840,open,rgb,,,28,0,,-0.000198864,21.6053,4.898160934,4.904809475,1.651362896
2026-07-27T16:51:26.007179+00:00,29.005959,open,rgb,,,29,0,,-0.000198864,21.6053,4.898153782,4.904811859,1.651311159
2026-07-27T16:51:27.007024+00:00,30.006082,open,rgb,,,30,0,,-0.000227273,21.6053,4.898141384,4.904803753,1.651193380
2026-07-27T16:51:28.007615+00:00,31.006216,open,rgb,,,31,0,,-0.000227273,21.6053,4.898166180,4.904780865,1.651135802
2026-07-27T16:51:29.007859+00:00,32.006348,open,rgb,,,32,0,,-0.000227273,21.6053,4.898182869,4.904793739,1.651098967
2026-07-27T16:51:30.007808+00:00,33.006472,open,rgb,,,33,0,,-0.000227273,21.6053,4.898181915,4.904782772,1.651298881
2026-07-27T16:51:31.008016+00:00,34.006616,open,rgb,,,34,0,,-0.000227273,21.6053,4.898178101,4.904798031,1.651323318
2026-07-27T16:51:32.007859+00:00,35.006735,open,rgb,,,35,0,,-0.000198864,21.6053,4.898163795,4.904805660,1.651123643
2026-07-27T16:51:33.008180+00:00,36.006855,open,rgb,,,36,0,,-0.000227273,21.6053,4.898150921,4.904798031,1.651291847
2026-07-27T16:51:34.008397+00:00,37.006985,open,rgb,,,37,0,,-0.000227273,21.6072,4.898151398,4.904804707,1.651034236
2026-07-27T16:51:35.008345+00:00,38.007110,open,rgb,,,38,0,,-0.000198864,21.6053,4.898152351,4.904781818,1.651137829
2026-07-27T16:51:36.008453+00:00,39.007227,open,rgb,,,39,0,,-0.000198864,21.6072,4.898173332,4.904793739,1.651103377
