timestamp_utc,elapsed_s,mode,led,polar_deg,azimuth_deg,sample_index,dac_code,target_current_a,led_current_a,bridge_temperature_c,sgt_tia_v,sol_tia_v,external_pd_v
2026-07-28T18:36:37.494135+00:00,310.275661,open,dark,-90.000,-90.000,0,0,,0.000681818,53.3202,4.897045135,4.903620243,1.649860144
2026-07-28T18:36:37.644836+00:00,310.426371,open,dark,-90.000,-90.000,1,0,,0.000681818,53.2599,4.897029400,4.903601646,1.649688840
2026-07-28T18:36:37.795280+00:00,310.576820,open,dark,-90.000,-90.000,2,0,,0.000681818,53.1847,4.897045612,4.903625488,1.649455190
2026-07-28T18:36:37.945623+00:00,310.727163,open,dark,-90.000,-90.000,3,0,,0.000681818,53.1156,4.897091866,4.903665066,1.649669528
2026-07-28T18:36:38.096040+00:00,310.877578,open,dark,-90.000,-90.000,4,0,,0.000681818,53.0466,4.897129059,4.903708458,1.649506211
2026-07-28T18:36:38.246380+00:00,311.027919,open,dark,-90.000,-90.000,5,0,,0.000681818,52.9807,4.897185802,4.903769016,1.649840355
2026-07-28T18:36:38.396747+00:00,311.178288,open,dark,-90.000,-90.000,6,0,,0.000681818,52.9029,4.897216320,4.903827667,1.649595261
2026-07-28T18:36:38.547101+00:00,311.328640,open,dark,-90.000,-90.000,7,0,,0.000681818,52.8253,4.897282124,4.903859615,1.649638057
2026-07-28T18:36:38.697502+00:00,311.479043,open,dark,-90.000,-90.000,8,0,,0.000681818,52.7448,4.897312164,4.903883457,1.649895549
2026-07-28T18:36:38.847878+00:00,311.629418,open,dark,-90.000,-90.000,9,0,,0.000681818,52.6763,4.897338867,4.903942108,1.649802804
2026-07-28T18:36:38.998220+00:00,311.779761,open,dark,-90.000,-90.000,10,0,,0.000681818,52.5960,4.897364140,4.903959751,1.649770856
2026-07-28T18:36:39.148655+00:00,311.930192,open,dark,-90.000,-90.000,11,0,,0.000681818,52.5189,4.897374630,4.903958321,1.649680257
2026-07-28T18:36:39.298993+00:00,312.080534,open,dark,-90.000,-90.000,12,0,,0.000681818,52.4418,4.897394180,4.903982639,1.649725199
2026-07-28T18:36:39.449390+00:00,312.230928,open,dark,-90.000,-90.000,13,0,,0.000681818,52.3620,4.897390366,4.903973579,1.649855256
2026-07-28T18:36:39.599953+00:00,312.381489,open,dark,-90.000,-90.000,14,0,,0.000681818,52.2734,4.897369862,4.903956413,1.649649262
2026-07-28T18:36:39.750426+00:00,312.531966,open,dark,-90.000,-90.000,15,0,,0.000710227,52.2026,4.897355556,4.903955936,1.649741054
2026-07-28T18:36:39.900854+00:00,312.682394,open,dark,-90.000,-90.000,16,0,,0.000681818,52.1202,4.897374153,4.903967857,1.649798870
2026-07-28T18:36:40.051138+00:00,312.832679,open,dark,-90.000,-90.000,17,0,,0.000681818,52.0467,4.897355080,4.903950691,1.649603605
2026-07-28T18:36:40.201481+00:00,312.983022,open,dark,-90.000,-90.000,18,0,,0.000681818,51.9733,4.897349358,4.903954983,1.649821877
2026-07-28T18:36:40.351883+00:00,313.133422,open,dark,-90.000,-90.000,19,0,,0.000681818,51.8971,4.897357464,4.903928757,1.649789333
2026-07-28T18:36:44.545903+00:00,317.327437,open,rgb,-90.000,-90.000,0,700,,0.258977273,51.2656,4.061136723,4.057962418,1.649576545
