time_unix,monotonic,channel_0,channel_1,channel_2,channel_3
1778194907.566,3583.322,0.0,0.0,0.0,0.0
1778194908.067,3583.823,0.0,0.0,0.0,0.0
1778194908.568,3584.325,0.0,0.0,0.0,0.0
1778194909.070,3584.826,0.0,0.0,0.0,0.0
1778194909.571,3585.328,0.0,0.0,0.0,0.0
1778194910.073,3585.829,0.0,0.0,0.0,0.0
1778194910.574,3586.331,0.0,0.0,0.0,0.0
1778194911.076,3586.832,0.0,0.0,0.0,0.0
1778194911.577,3587.334,0.0,0.0,0.0,0.0
1778194912.079,3587.836,0.0,0.0,0.0,0.0
1778194912.580,3588.337,0.0,0.0,0.0,0.0
1778194913.082,3588.838,0.0,0.0,0.0,0.0
1778194913.583,3589.340,0.0,0.0,0.0,0.0
1778194914.084,3589.841,0.0,0.0,0.0,0.0
1778194914.586,3590.342,0.0,0.0,0.0,0.0
1778194915.087,3590.844,0.0,0.0,0.0,0.0
1778194915.589,3591.345,0.0,0.0,0.0,0.0
1778194916.090,3591.847,0.0,0.0,0.0,0.0
1778194916.592,3592.348,0.0,0.0,0.0,0.0
1778194917.093,3592.850,0.0,0.0,0.0,0.0
1778194917.594,3593.351,0.0,0.0,0.0,0.0
1778194918.096,3593.852,0.0,0.0,0.0,0.0
1778194918.598,3594.354,0.0,0.0,0.0,0.0
1778194919.099,3594.856,0.0,0.0,0.0,0.0
1778194919.601,3595.357,0.0,0.0,0.0,0.0
1778194920.102,3595.859,0.0,0.0,0.0,0.0
1778194920.604,3596.360,0.0,0.0,0.0,0.0
1778194921.105,3596.862,0.0,0.0,0.0,0.0
1778194921.606,3597.363,0.0,0.0,0.0,0.0
1778194922.108,3597.865,0.0,0.0,0.0,0.0
1778194922.610,3598.366,0.0,0.0,0.0,0.0
1778194923.061,3598.817,0.0,0.0,0.0,0.0
1778194923.562,3599.319,0.0,0.0,0.0,0.0
1778194924.064,3599.821,0.0,0.0,0.0,0.0
1778194924.566,3600.322,0.0,0.0,0.0,0.0
1778194925.067,3600.824,0.0,0.0,0.0,0.0
1778194925.569,3601.325,0.0,0.0,0.0,0.0
1778194926.070,3601.826,0.0,0.0,0.0,0.0
1778194926.572,3602.328,0.0,0.0,0.0,0.0
1778194927.073,3602.830,0.0,0.0,0.0,0.0
1778194927.575,3603.331,0.0,0.0,0.0,0.0
1778194928.076,3603.832,0.0,0.0,0.0,0.0
1778194928.577,3604.334,0.0,0.0,0.0,0.0
1778194929.079,3604.836,0.0,0.0,0.0,0.0
1778194929.581,3605.337,0.0,0.0,0.0,0.0
1778194930.082,3605.838,0.0,0.0,0.0,0.0
1778194930.584,3606.340,0.0,0.0,0.0,0.0
1778194931.085,3606.841,0.0,0.0,0.0,0.0
1778194931.586,3607.343,0.0,0.0,0.0,0.0
1778194932.088,3607.844,0.0,0.0,0.0,0.0
1778194932.589,3608.346,0.0,0.0,0.0,0.0
1778194933.091,3608.847,0.0,0.0,0.0,0.0
1778194933.592,3609.349,0.0,0.0,0.0,0.0
1778194934.094,3609.851,0.0,0.0,0.0,0.0
1778194934.596,3610.352,0.0,0.0,0.0,0.0
1778194935.097,3610.853,0.0,0.0,0.0,0.0
1778194935.598,3611.355,0.0,0.0,0.0,0.0
1778194936.100,3611.856,0.0,0.0,0.0,0.0
1778194936.602,3612.358,0.0,0.0,0.0,0.0
1778194937.103,3612.859,0.0,0.0,0.0,0.0
1778194937.604,3613.361,0.0,0.0,0.0,0.0
1778194938.106,3613.862,0.0,0.0,0.0,0.0
1778194938.607,3614.363,0.0,0.0,0.0,0.0
1778194939.109,3614.865,0.0,0.0,0.0,0.0
1778194939.610,3615.366,0.0,0.0,0.0,0.0
1778194940.061,3615.818,0.0,0.0,0.0,0.0
1778194940.563,3616.319,0.0,0.0,0.0,0.0
1778194941.064,3616.821,0.0,0.0,0.0,0.0
1778194941.566,3617.322,0.0,0.0,0.0,0.0
1778194942.067,3617.824,0.0,0.0,0.0,0.0
1778194942.569,3618.325,0.0,0.0,0.0,0.0
1778194943.070,3618.826,0.0,0.0,0.0,0.0
1778194943.571,3619.328,0.0,0.0,0.0,0.0
1778194944.073,3619.829,0.0,0.0,0.0,0.0
1778194944.574,3620.331,0.0,0.0,0.0,0.0
1778194945.076,3620.832,0.0,0.0,0.0,0.0
1778194945.577,3621.334,0.0,0.0,0.0,0.0
1778194946.079,3621.835,0.0,0.0,0.0,0.0
1778194946.580,3622.337,0.0,0.0,0.0,0.0
1778194947.082,3622.838,0.0,0.0,0.0,0.0
1778194947.583,3623.340,0.0,0.0,0.0,0.0
1778194948.084,3623.841,0.0,0.0,0.0,0.0
1778194948.586,3624.342,0.0,0.0,0.0,0.0
1778194949.087,3624.844,0.0,0.0,0.0,0.0
1778194949.589,3625.345,0.0,0.0,0.0,0.0
1778194950.090,3625.846,0.0,0.0,0.0,0.0
1778194950.591,3626.348,0.0,0.0,0.0,0.0
1778194951.093,3626.850,0.0,0.0,0.0,0.0
1778194951.594,3627.351,0.0,0.0,0.0,0.0
1778194952.096,3627.852,0.0,0.0,0.0,0.0
1778194952.597,3628.353,0.0,0.0,0.0,0.0
1778194953.098,3628.855,0.0,0.0,0.0,0.0
1778194953.600,3629.356,0.0,0.0,0.0,0.0
1778194954.101,3629.857,0.0,0.0,0.0,0.0
1778194954.602,3630.359,0.0,0.0,0.0,0.0
1778194955.104,3630.860,0.0,0.0,0.0,0.0
1778194955.605,3631.362,0.0,0.0,0.0,0.0
1778194956.107,3631.863,0.0,0.0,0.0,0.0
1778194956.608,3632.365,0.0,0.0,0.0,0.0
1778194957.110,3632.866,0.0,0.0,0.0,0.0
1778194957.561,3633.318,0.0,0.0,0.0,0.0
1778194958.063,3633.820,0.0,0.0,0.0,0.0
1778194958.564,3634.321,0.0,0.0,0.0,0.0
1778194959.066,3634.822,0.0,0.0,0.0,0.0
1778194959.567,3635.323,0.0,0.0,0.0,0.0
1778194960.068,3635.825,0.0,0.0,0.0,0.0
1778194960.570,3636.326,0.0,0.0,0.0,0.0
1778194961.071,3636.828,0.0,0.0,0.0,0.0
1778194961.573,3637.329,0.0,0.0,0.0,0.0
1778194962.074,3637.831,0.0,0.0,0.0,0.0
1778194962.575,3638.332,0.0,0.0,0.0,0.0
1778194963.077,3638.834,0.0,0.0,0.0,0.0
1778194963.579,3639.335,0.0,0.0,0.0,0.0
1778194964.080,3639.837,0.0,0.0,0.0,0.0
1778194964.581,3640.338,0.0,0.0,0.0,0.0
1778194965.083,3640.840,0.0,0.0,0.0,0.0
1778194965.585,3641.341,0.0,0.0,0.0,0.0
1778194966.086,3641.842,0.0,0.0,0.0,0.0
1778194966.587,3642.344,0.0,0.0,0.0,0.0
1778194967.089,3642.845,0.0,0.0,0.0,0.0
1778194967.590,3643.347,0.0,0.0,0.0,0.0
1778194968.092,3643.848,0.0,0.0,0.0,0.0
1778194968.593,3644.350,0.0,0.0,0.0,0.0
1778194969.094,3644.851,0.0,0.0,0.0,0.0
1778194969.596,3645.352,0.0,0.0,0.0,0.0
1778194970.097,3645.854,0.0,0.0,0.0,0.0
1778194970.599,3646.355,0.0,0.0,0.0,0.0
1778194971.100,3646.856,0.0,0.0,0.0,0.0
1778194971.601,3647.358,0.0,0.0,0.0,0.0
1778194972.103,3647.859,0.0,0.0,0.0,0.0
1778194972.604,3648.361,0.0,0.0,0.0,0.0
1778194973.106,3648.862,0.0,0.0,0.0,0.0
1778194973.607,3649.364,0.0,0.0,0.0,0.0
1778194974.109,3649.865,0.0,0.0,0.0,0.0
1778194974.610,3650.367,0.0,0.0,0.0,0.0
1778194975.062,3650.818,0.0,0.0,0.0,0.0
1778194975.563,3651.320,0.0,0.0,0.0,0.0
1778194976.065,3651.821,0.0,0.0,0.0,0.0
1778194976.566,3652.322,0.0,0.0,0.0,0.0
1778194977.067,3652.824,0.0,0.0,0.0,0.0
1778194977.569,3653.325,0.0,0.0,0.0,0.0
1778194978.070,3653.827,0.0,0.0,0.0,0.0
1778194978.571,3654.328,0.0,0.0,0.0,0.0
1778194979.073,3654.829,0.0,0.0,0.0,0.0
1778194979.574,3655.331,0.0,0.0,0.0,0.0
1778194980.076,3655.833,0.0,0.0,0.0,0.0
1778194980.578,3656.334,0.0,0.0,0.0,0.0
1778194981.079,3656.835,0.0,0.0,0.0,0.0
1778194981.580,3657.337,0.0,0.0,0.0,0.0
1778194982.082,3657.838,0.0,0.0,0.0,0.0
1778194982.583,3658.340,0.0,0.0,0.0,0.0
1778194983.085,3658.841,0.0,0.0,0.0,0.0
