time_unix,monotonic,time_unix,uptime_s,cpu_load_pct,mem_used_pct,tasks_running,pixhawk_connected,vesc_connected,power_connected,photodiode_connected,pps_synced,pps_rms_us
1778194996.367,3672.124,1778194996.356767,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1778194996.618,3672.375,1778194996.6074486,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1778194996.869,3672.625,1778194996.8581762,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1778194997.120,3672.876,1778194997.1088476,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1778194997.370,3673.127,1778194997.3595653,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1778194997.621,3673.377,1778194997.6102655,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1778194997.872,3673.628,1778194997.8609252,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1778194998.122,3673.879,1778194998.111603,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1778194998.373,3674.129,1778194998.3622859,4.0404839889997675,49.169921875,6.174207611670813,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778194998.624,3674.380,1778194998.6129637,4.0404839889997675,49.169921875,6.174207611670813,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778194998.874,3674.631,1778194998.8636658,4.0404839889997675,49.169921875,6.174207611670813,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778194999.125,3674.882,1778194999.1143332,4.0404839889997675,49.169921875,6.174207611670813,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778194999.376,3675.132,1778194999.3650537,4.0404839889997675,49.169921875,6.174207611670813,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778194999.626,3675.383,1778194999.6157894,4.0404839889997675,49.169921875,6.174207611670813,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778194999.877,3675.633,1778194999.866708,4.0404839889997675,49.169921875,6.174207611670813,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195000.128,3675.884,1778195000.1175454,4.0404839889997675,49.169921875,6.174207611670813,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195000.378,3676.135,1778195000.36832,4.0404839889997675,49.169921875,6.174207611670813,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195000.629,3676.386,1778195000.6191363,6.059675597000023,49.169921875,6.174157581627771,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195000.880,3676.636,1778195000.870037,6.059675597000023,49.169921875,6.174157581627771,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195001.131,3676.887,1778195001.120745,6.059675597000023,49.169921875,6.174157581627771,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195001.381,3677.138,1778195001.3713546,6.059675597000023,49.169921875,6.174157581627771,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195001.632,3677.388,1778195001.6220229,6.059675597000023,49.169921875,6.174157581627771,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195001.883,3677.639,1778195001.8726752,6.059675597000023,49.169921875,6.174157581627771,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195002.133,3677.890,1778195002.1233811,6.059675597000023,49.169921875,6.174157581627771,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195002.384,3678.140,1778195002.374071,6.059675597000023,49.169921875,6.174157581627771,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195002.635,3678.391,1778195002.6247635,8.079141273999994,45.21484375,6.1740575215416875,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195002.885,3678.642,1778195002.8754408,8.079141273999994,45.21484375,6.1740575215416875,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195003.136,3678.893,1778195003.1263845,8.079141273999994,45.21484375,6.1740575215416875,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195003.387,3679.143,1778195003.3772225,8.079141273999994,45.21484375,6.1740575215416875,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195003.637,3679.394,1778195003.6278813,8.079141273999994,45.21484375,6.1740575215416875,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195003.888,3679.645,1778195003.8785872,8.079141273999994,45.21484375,6.1740575215416875,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195004.139,3679.895,1778195004.1292799,8.079141273999994,45.21484375,6.1740575215416875,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195004.389,3680.146,1778195004.3800306,8.079141273999994,45.21484375,6.1740575215416875,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195004.640,3680.397,1778195004.6307075,10.098785243999828,45.21484375,6.1740575215416875,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195004.891,3680.647,1778195004.8814497,10.098785243999828,45.21484375,6.1740575215416875,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195005.141,3680.898,1778195005.1321607,10.098785243999828,45.21484375,6.1740575215416875,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195005.392,3681.149,1778195005.382955,10.098785243999828,45.21484375,6.1740575215416875,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195005.643,3681.399,1778195005.6336904,10.098785243999828,45.21484375,6.1740575215416875,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195005.894,3681.650,1778195005.8847923,10.098785243999828,45.21484375,6.1740575215416875,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195006.144,3681.901,1778195006.1359441,10.098785243999828,45.21484375,6.1740575215416875,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195006.395,3682.151,1778195006.3866096,10.098785243999828,45.21484375,6.1740575215416875,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195006.646,3682.402,1778195006.6373174,12.118209847999879,45.21484375,6.173857401369521,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195006.896,3682.653,1778195006.8880289,12.118209847999879,45.21484375,6.173857401369521,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195007.147,3682.904,1778195007.138741,12.118209847999879,45.21484375,6.173857401369521,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195007.398,3683.154,1778195007.3894176,12.118209847999879,45.21484375,6.173857401369521,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195007.649,3683.405,1778195007.6400983,12.118209847999879,45.21484375,6.173857401369521,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195007.899,3683.656,1778195007.8909218,12.118209847999879,45.21484375,6.173857401369521,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195008.150,3683.906,1778195008.141778,12.118209847999879,45.21484375,6.173857401369521,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195008.401,3684.157,1778195008.3926425,12.118209847999879,45.21484375,6.173857401369521,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195008.651,3684.408,1778195008.6433647,14.137645840999994,49.609375,6.173757341283437,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195008.902,3684.658,1778195008.8940775,14.137645840999994,49.609375,6.173757341283437,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195009.153,3684.909,1778195009.144842,14.137645840999994,49.609375,6.173757341283437,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195009.403,3685.160,1778195009.395501,14.137645840999994,49.609375,6.173757341283437,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195009.654,3685.411,1778195009.646201,14.137645840999994,49.609375,6.173757341283437,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195009.905,3685.662,1778195009.8968813,14.137645840999994,49.609375,6.173757341283437,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195010.156,3685.913,1778195010.1475892,14.137645840999994,49.609375,6.173757341283437,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195010.407,3686.163,1778195010.398474,14.137645840999994,49.609375,6.173757341283437,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195010.658,3686.414,1778195010.649496,16.156260548999853,49.609375,6.173757341283437,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195010.908,3686.665,1778195010.9003165,16.156260548999853,49.609375,6.173757341283437,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195011.159,3686.916,1778195011.1510146,16.156260548999853,49.609375,6.173757341283437,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195011.360,3687.116,1778195011.3515635,16.156260548999853,49.609375,6.173757341283437,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195011.610,3687.367,1778195011.6022909,16.156260548999853,49.609375,6.173757341283437,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195011.861,3687.617,1778195011.8529654,16.156260548999853,49.609375,6.173757341283437,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195012.112,3687.868,1778195012.1037085,16.156260548999853,49.609375,6.173757341283437,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195012.362,3688.119,1778195012.3544593,16.156260548999853,49.609375,6.173757341283437,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195012.613,3688.369,1778195012.6053298,18.175308983999912,45.60546875,6.173757341283437,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195012.864,3688.620,1778195012.8563511,18.175308983999912,45.60546875,6.173757341283437,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195013.114,3688.871,1778195013.1072671,18.175308983999912,45.60546875,6.173757341283437,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195013.365,3689.122,1778195013.358201,18.175308983999912,45.60546875,6.173757341283437,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195013.616,3689.372,1778195013.6090174,18.175308983999912,45.60546875,6.173757341283437,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195013.867,3689.623,1778195013.859656,18.175308983999912,45.60546875,6.173757341283437,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195014.118,3689.874,1778195014.1103325,18.175308983999912,45.60546875,6.173757341283437,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195014.369,3690.125,1778195014.3610227,18.175308983999912,45.60546875,6.173757341283437,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195014.619,3690.376,1778195014.611744,20.19549981199998,45.60546875,6.173557221111281,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195014.870,3690.627,1778195014.8624291,20.19549981199998,45.60546875,6.173557221111281,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195015.121,3690.877,1778195015.113165,20.19549981199998,45.60546875,6.173557221111281,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195015.372,3691.128,1778195015.363811,20.19549981199998,45.60546875,6.173557221111281,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195015.622,3691.379,1778195015.614518,20.19549981199998,45.60546875,6.173557221111281,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195015.873,3691.629,1778195015.8656228,20.19549981199998,45.60546875,6.173557221111281,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195016.124,3691.880,1778195016.116314,20.19549981199998,45.60546875,6.173557221111281,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195016.374,3692.131,1778195016.3669837,20.19549981199998,45.60546875,6.173557221111281,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195016.625,3692.381,1778195016.6176896,22.212794240999756,45.60546875,6.173557221111281,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195016.876,3692.632,1778195016.868359,22.212794240999756,45.60546875,6.173557221111281,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195017.126,3692.883,1778195017.1190875,22.212794240999756,45.60546875,6.173557221111281,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195017.377,3693.133,1778195017.3697655,22.212794240999756,45.60546875,6.173557221111281,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195017.628,3693.384,1778195017.620896,22.212794240999756,45.60546875,6.173557221111281,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195017.878,3693.635,1778195017.8719919,22.212794240999756,45.60546875,6.173557221111281,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195018.129,3693.885,1778195018.1226735,22.212794240999756,45.60546875,6.173557221111281,12.0,1.0,1.0,0.0,0.0,1.0,0.0
1778195018.380,3694.136,1778195018.3732977,22.212794240999756,45.60546875,6.173557221111281,12.0,1.0,1.0,0.0,0.0,1.0,0.0
