time_unix,monotonic,flight_stage,arm_state,preflight_ok,arm_checks_ok,launch_initiated,ascent_active,termination_fired,burst_detected,descent_active,landing_detected,cutdown_fired,recovery_active,data_logging_active
1778195920.540,4596.297,0,0,0,0,0,0,0,0,0,0,0,0,1
1778195921.042,4596.798,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195921.543,4597.300,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195922.045,4597.801,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195922.546,4598.303,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195923.047,4598.804,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195923.549,4599.305,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195924.050,4599.807,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195924.502,4600.258,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195925.003,4600.760,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195925.505,4601.262,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195926.007,4601.763,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195926.509,4602.265,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195927.011,4602.767,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195927.512,4603.269,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195928.014,4603.770,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195928.515,4604.272,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195929.016,4604.773,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195929.518,4605.274,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195930.019,4605.776,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195930.521,4606.277,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195931.022,4606.779,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195931.524,4607.280,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195932.025,4607.782,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195932.527,4608.283,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195933.028,4608.785,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195933.529,4609.286,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195934.031,4609.787,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195934.532,4610.289,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195935.034,4610.791,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195935.536,4611.292,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195936.037,4611.794,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195936.539,4612.295,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195937.040,4612.796,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195937.541,4613.298,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195938.043,4613.799,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195938.544,4614.301,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195939.046,4614.802,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195939.547,4615.304,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195940.049,4615.805,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195940.550,4616.307,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195941.002,4616.758,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195941.503,4617.260,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195942.004,4617.761,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195942.506,4618.263,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195943.008,4618.764,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195943.509,4619.265,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195944.011,4619.767,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195944.514,4620.270,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195945.015,4620.772,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195945.517,4621.274,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195946.019,4621.775,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195946.520,4622.276,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195947.021,4622.778,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195947.523,4623.279,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195948.024,4623.780,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195948.525,4624.282,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195949.027,4624.783,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195949.528,4625.285,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195950.030,4625.786,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195950.532,4626.288,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195951.033,4626.789,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195951.534,4627.291,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195952.036,4627.792,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195952.537,4628.294,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195953.039,4628.795,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195953.540,4629.297,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195954.042,4629.798,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195954.543,4630.300,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195955.045,4630.801,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195955.546,4631.303,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195956.047,4631.804,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195956.549,4632.305,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195957.050,4632.807,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195957.502,4633.258,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195958.003,4633.760,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195958.505,4634.261,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195959.006,4634.763,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195959.508,4635.264,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195960.009,4635.766,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195960.511,4636.267,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195961.012,4636.768,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195961.514,4637.270,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195962.016,4637.772,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195962.518,4638.274,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195963.020,4638.776,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195963.521,4639.278,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195964.022,4639.779,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195964.524,4640.280,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195965.025,4640.781,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195965.527,4641.284,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195966.029,4641.785,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195966.530,4642.287,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195967.031,4642.788,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195967.533,4643.290,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195968.035,4643.791,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195968.536,4644.292,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195969.037,4644.794,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195969.539,4645.295,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195970.040,4645.797,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195970.542,4646.298,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195971.043,4646.800,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195971.545,4647.301,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195972.046,4647.803,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195972.548,4648.305,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195973.050,4648.806,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195973.551,4649.308,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195974.002,4649.759,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195974.504,4650.260,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195975.006,4650.762,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195975.508,4651.264,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195976.009,4651.766,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195976.511,4652.267,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195977.012,4652.769,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195977.514,4653.270,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195978.016,4653.772,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195978.517,4654.274,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195979.019,4654.775,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195979.520,4655.276,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195980.022,4655.778,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195980.524,4656.280,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195981.025,4656.782,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195981.526,4657.283,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195982.028,4657.784,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195982.529,4658.285,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195983.030,4658.787,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195983.532,4659.288,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195984.033,4659.789,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195984.534,4660.291,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195985.036,4660.792,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195985.538,4661.294,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195986.039,4661.795,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195986.540,4662.297,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195987.042,4662.798,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195987.543,4663.300,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195988.044,4663.801,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195988.546,4664.302,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195989.047,4664.804,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195989.549,4665.305,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195990.050,4665.807,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195990.501,4666.258,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195991.003,4666.759,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195991.504,4667.261,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195992.006,4667.763,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195992.508,4668.264,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195993.010,4668.767,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195993.512,4669.268,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195994.013,4669.770,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195994.514,4670.271,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195995.016,4670.773,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195995.518,4671.274,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195996.019,4671.776,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195996.521,4672.277,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195997.022,4672.779,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195997.524,4673.280,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195998.025,4673.782,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195998.526,4674.283,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195999.028,4674.784,0,0,1,0,0,0,0,0,0,0,0,0,1
1778195999.529,4675.285,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196000.031,4675.787,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196000.532,4676.288,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196001.033,4676.790,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196001.535,4677.291,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196002.036,4677.793,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196002.538,4678.294,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196003.039,4678.796,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196003.541,4679.297,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196004.042,4679.799,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196004.544,4680.300,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196005.046,4680.802,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196005.547,4681.304,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196006.049,4681.805,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196006.550,4682.307,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196007.001,4682.758,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196007.503,4683.259,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196008.005,4683.762,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196008.507,4684.263,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196009.008,4684.765,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196009.510,4685.267,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196010.012,4685.769,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196010.514,4686.271,0,0,1,0,0,0,0,0,0,0,0,0,1
