time_unix,monotonic,rpm,duty_cycle,motor_current,input_voltage,temperature,fault_code
1778195920.340,4596.096,0.0,0.0,0.0,22.6,0.0,0
1778195920.841,4596.598,0.0,0.0,0.0,22.6,0.0,0
1778195921.343,4597.099,0.0,0.0,0.0,22.6,0.0,0
1778195921.794,4597.550,0.0,0.0,0.0,22.6,0.0,0
1778195922.296,4598.052,0.0,0.0,0.0,22.6,0.0,0
1778195922.797,4598.553,0.0,0.0,0.0,22.6,0.0,0
1778195923.298,4599.055,0.0,0.0,0.0,22.6,0.0,0
1778195923.800,4599.556,0.0,0.0,0.0,22.6,0.0,0
1778195924.301,4600.057,0.0,0.0,0.0,22.6,0.0,0
1778195924.803,4600.559,0.0,0.0,0.0,22.6,0.0,0
1778195925.304,4601.061,0.0,0.0,0.0,22.6,0.0,0
1778195925.806,4601.563,0.0,0.0,0.0,22.6,0.0,0
1778195926.308,4602.065,0.0,0.0,0.0,22.6,0.0,0
1778195926.810,4602.566,0.0,0.0,0.0,22.6,0.0,0
1778195927.312,4603.068,0.0,0.0,0.0,22.6,0.0,0
1778195927.813,4603.570,0.0,0.0,0.0,22.6,0.0,0
1778195928.315,4604.071,0.0,0.0,0.0,22.6,0.0,0
1778195928.816,4604.572,0.0,0.0,0.0,22.6,0.0,0
1778195929.317,4605.074,0.0,0.0,0.0,22.6,0.0,0
1778195929.819,4605.575,0.0,0.0,0.0,22.6,0.0,0
1778195930.320,4606.077,0.0,0.0,0.0,22.6,0.0,0
1778195930.822,4606.578,0.0,0.0,0.0,22.6,0.0,0
1778195931.323,4607.080,0.0,0.0,0.0,22.6,0.0,0
1778195931.825,4607.581,0.0,0.0,0.0,22.6,0.0,0
1778195932.326,4608.083,0.0,0.0,0.0,22.6,0.0,0
1778195932.828,4608.584,0.0,0.0,0.0,22.6,0.0,0
1778195933.329,4609.085,0.0,0.0,0.0,22.6,0.0,0
1778195933.830,4609.587,0.0,0.0,0.0,22.6,0.0,0
1778195934.332,4610.088,0.0,0.0,0.0,22.6,0.0,0
1778195934.834,4610.590,0.0,0.0,0.0,22.6,0.0,0
1778195935.335,4611.092,0.0,0.0,0.0,22.6,0.0,0
1778195935.837,4611.593,0.0,0.0,0.0,22.6,0.0,0
1778195936.338,4612.094,0.0,0.0,0.0,22.6,0.0,0
1778195936.839,4612.596,0.0,0.0,0.0,22.5,0.0,0
1778195937.341,4613.097,0.0,0.0,0.0,22.6,0.0,0
1778195937.842,4613.599,0.0,0.0,0.0,22.6,0.0,0
1778195938.294,4614.050,0.0,0.0,0.0,22.6,0.0,0
1778195938.795,4614.551,0.0,0.0,0.0,22.6,0.0,0
1778195939.296,4615.053,0.0,0.0,0.0,22.6,0.0,0
1778195939.798,4615.555,0.0,0.0,0.0,22.6,0.0,0
1778195940.300,4616.056,0.0,0.0,0.0,22.6,0.0,0
1778195940.801,4616.558,0.0,0.0,0.0,22.6,0.0,0
1778195941.303,4617.059,0.0,0.0,0.0,22.6,0.0,0
1778195941.804,4617.560,0.0,0.0,0.0,22.6,0.0,0
1778195942.305,4618.062,0.0,0.0,0.0,22.6,0.0,0
1778195942.807,4618.564,0.0,0.0,0.0,22.6,0.0,0
1778195943.308,4619.065,0.0,0.0,0.0,22.6,0.0,0
1778195943.810,4619.567,0.0,0.0,0.0,22.6,0.0,0
1778195944.313,4620.070,0.0,0.0,0.0,22.6,0.0,0
1778195944.815,4620.571,0.0,0.0,0.0,22.6,0.0,0
1778195945.317,4621.073,0.0,0.0,0.0,22.6,0.0,0
1778195945.818,4621.575,0.0,0.0,0.0,22.6,0.0,0
1778195946.319,4622.076,0.0,0.0,0.0,22.6,0.0,0
1778195946.821,4622.577,0.0,0.0,0.0,22.6,0.0,0
1778195947.322,4623.078,0.0,0.0,0.0,22.6,0.0,0
1778195947.823,4623.580,0.0,0.0,0.0,22.6,0.0,0
1778195948.325,4624.081,0.0,0.0,0.0,22.6,0.0,0
1778195948.826,4624.583,0.0,0.0,0.0,22.6,0.0,0
1778195949.328,4625.084,0.0,0.0,0.0,22.6,0.0,0
1778195949.829,4625.586,0.0,0.0,0.0,22.6,0.0,0
1778195950.331,4626.088,0.0,0.0,0.0,22.6,0.0,0
1778195950.833,4626.589,0.0,0.0,0.0,22.6,0.0,0
1778195951.334,4627.090,0.0,0.0,0.0,22.5,0.0,0
1778195951.835,4627.592,0.0,0.0,0.0,22.6,0.0,0
1778195952.337,4628.093,0.0,0.0,0.0,22.6,0.0,0
1778195952.838,4628.595,0.0,0.0,0.0,22.6,0.0,0
1778195953.340,4629.096,0.0,0.0,0.0,22.6,0.0,0
1778195953.841,4629.597,0.0,0.0,0.0,22.6,0.0,0
1778195954.342,4630.099,0.0,0.0,0.0,22.5,0.0,0
1778195954.794,4630.550,0.0,0.0,0.0,22.6,0.0,0
1778195955.295,4631.052,0.0,0.0,0.0,22.6,0.0,0
1778195955.797,4631.553,0.0,0.0,0.0,22.6,0.0,0
1778195956.298,4632.055,0.0,0.0,0.0,22.6,0.0,0
1778195956.800,4632.556,0.0,0.0,0.0,22.6,0.0,0
1778195957.301,4633.057,0.0,0.0,0.0,22.6,0.0,0
1778195957.803,4633.559,0.0,0.0,0.0,22.6,0.0,0
1778195958.304,4634.061,0.0,0.0,0.0,22.6,0.0,0
1778195958.806,4634.562,0.0,0.0,0.0,22.6,0.0,0
1778195959.307,4635.063,0.0,0.0,0.0,22.6,0.0,0
1778195959.808,4635.565,0.0,0.0,0.0,22.6,0.0,0
1778195960.310,4636.066,0.0,0.0,0.0,22.6,0.0,0
1778195960.811,4636.568,0.0,0.0,0.0,22.6,0.0,0
1778195961.313,4637.069,0.0,0.0,0.0,22.6,0.0,0
1778195961.815,4637.571,0.0,0.0,0.0,22.6,0.0,0
1778195962.317,4638.073,0.0,0.0,0.0,22.6,0.0,0
1778195962.819,4638.576,0.0,0.0,0.0,22.6,0.0,0
1778195963.321,4639.077,0.0,0.0,0.0,22.6,0.0,0
1778195963.822,4639.578,0.0,0.0,0.0,22.6,0.0,0
1778195964.323,4640.080,0.0,0.0,0.0,22.6,0.0,0
1778195964.824,4640.581,0.0,0.0,0.0,22.6,0.0,0
1778195965.326,4641.083,0.0,0.0,0.0,22.6,0.0,0
1778195965.828,4641.585,0.0,0.0,0.0,22.6,0.0,0
1778195966.329,4642.086,0.0,0.0,0.0,22.6,0.0,0
1778195966.831,4642.587,0.0,0.0,0.0,22.6,0.0,0
1778195967.332,4643.089,0.0,0.0,0.0,22.6,0.0,0
1778195967.834,4643.591,0.0,0.0,0.0,22.6,0.0,0
1778195968.335,4644.092,0.0,0.0,0.0,22.6,0.0,0
1778195968.837,4644.593,0.0,0.0,0.0,22.6,0.0,0
1778195969.338,4645.095,0.0,0.0,0.0,22.6,0.0,0
1778195969.839,4645.596,0.0,0.0,0.0,22.6,0.0,0
1778195970.341,4646.098,0.0,0.0,0.0,22.6,0.0,0
1778195970.843,4646.599,0.0,0.0,0.0,22.6,0.0,0
1778195971.294,4647.050,0.0,0.0,0.0,22.6,0.0,0
1778195971.796,4647.552,0.0,0.0,0.0,22.6,0.0,0
1778195972.297,4648.053,0.0,0.0,0.0,22.6,0.0,0
1778195972.799,4648.555,0.0,0.0,0.0,22.5,0.0,0
1778195973.300,4649.057,0.0,0.0,0.0,22.6,0.0,0
1778195973.802,4649.558,0.0,0.0,0.0,22.6,0.0,0
1778195974.303,4650.060,0.0,0.0,0.0,22.6,0.0,0
1778195974.805,4650.561,0.0,0.0,0.0,22.6,0.0,0
1778195975.307,4651.063,0.0,0.0,0.0,22.5,0.0,0
1778195975.809,4651.565,0.0,0.0,0.0,22.6,0.0,0
1778195976.310,4652.067,0.0,0.0,0.0,22.6,0.0,0
1778195976.812,4652.568,0.0,0.0,0.0,22.6,0.0,0
1778195977.313,4653.070,0.0,0.0,0.0,22.6,0.0,0
1778195977.815,4653.571,0.0,0.0,0.0,22.6,0.0,0
1778195978.317,4654.073,0.0,0.0,0.0,22.6,0.0,0
1778195978.818,4654.574,0.0,0.0,0.0,22.6,0.0,0
1778195979.319,4655.076,0.0,0.0,0.0,22.5,0.0,0
1778195979.821,4655.577,0.0,0.0,0.0,22.6,0.0,0
1778195980.323,4656.080,0.0,0.0,0.0,22.6,0.0,0
1778195980.825,4656.581,0.0,0.0,0.0,22.6,0.0,0
1778195981.326,4657.082,0.0,0.0,0.0,22.6,0.0,0
1778195981.827,4657.584,0.0,0.0,0.0,22.6,0.0,0
1778195982.328,4658.085,0.0,0.0,0.0,22.6,0.0,0
1778195982.830,4658.586,0.0,0.0,0.0,22.6,0.0,0
1778195983.331,4659.088,0.0,0.0,0.0,22.6,0.0,0
1778195983.832,4659.589,0.0,0.0,0.0,22.6,0.0,0
1778195984.334,4660.090,0.0,0.0,0.0,22.6,0.0,0
1778195984.835,4660.592,0.0,0.0,0.0,22.5,0.0,0
1778195985.337,4661.093,0.0,0.0,0.0,22.6,0.0,0
1778195985.838,4661.595,0.0,0.0,0.0,22.5,0.0,0
1778195986.340,4662.096,0.0,0.0,0.0,22.5,0.0,0
1778195986.841,4662.598,0.0,0.0,0.0,22.6,0.0,0
1778195987.343,4663.099,0.0,0.0,0.0,22.6,0.0,0
1778195987.794,4663.550,0.0,0.0,0.0,22.6,0.0,0
1778195988.295,4664.052,0.0,0.0,0.0,22.5,0.0,0
1778195988.797,4664.553,0.0,0.0,0.0,22.5,0.0,0
1778195989.298,4665.054,0.0,0.0,0.0,22.5,0.0,0
1778195989.799,4665.556,0.0,0.0,0.0,22.6,0.0,0
1778195990.301,4666.057,0.0,0.0,0.0,22.5,0.0,0
1778195990.802,4666.559,0.0,0.0,0.0,22.6,0.0,0
1778195991.304,4667.060,0.0,0.0,0.0,22.5,0.0,0
1778195991.805,4667.562,0.0,0.0,0.0,22.5,0.0,0
