time_unix,monotonic,target_heading_rad,heading_error_rad,source_angle_deg,source_angle_error_deg
1778197105.471,5781.227,0.0,0.0,0.0,0.0
1778197105.972,5781.729,0.0,0.0,0.0,0.0
1778197106.474,5782.230,0.0,0.0,0.0,0.0
1778197106.975,5782.732,0.0,0.0,0.0,0.0
1778197107.476,5783.233,0.0,0.0,0.0,0.0
1778197107.978,5783.734,0.0,0.0,0.0,0.0
1778197108.479,5784.236,0.0,0.0,0.0,0.0
1778197108.981,5784.737,0.0,0.0,0.0,0.0
1778197109.482,5785.239,0.0,0.0,0.0,0.0
1778197109.984,5785.740,0.0,0.0,0.0,0.0
1778197110.485,5786.241,0.0,0.0,0.0,0.0
1778197110.987,5786.743,0.0,0.0,0.0,0.0
1778197111.488,5787.245,0.0,0.0,0.0,0.0
1778197111.990,5787.746,0.0,0.0,0.0,0.0
1778197112.491,5788.248,0.0,0.0,0.0,0.0
1778197112.993,5788.749,0.0,0.0,0.0,0.0
1778197113.494,5789.251,0.0,0.0,0.0,0.0
1778197113.995,5789.752,0.0,0.0,0.0,0.0
1778197114.497,5790.254,0.0,0.0,0.0,0.0
1778197114.998,5790.755,0.0,0.0,0.0,0.0
1778197115.500,5791.256,0.0,0.0,0.0,0.0
1778197116.001,5791.758,0.0,0.0,0.0,0.0
1778197116.503,5792.259,0.0,0.0,0.0,0.0
1778197117.004,5792.761,0.0,0.0,0.0,0.0
1778197117.505,5793.262,0.0,0.0,0.0,0.0
1778197118.007,5793.763,0.0,0.0,0.0,0.0
1778197118.508,5794.264,0.0,0.0,0.0,0.0
1778197119.010,5794.766,0.0,0.0,0.0,0.0
1778197119.461,5795.217,0.0,0.0,0.0,0.0
1778197119.962,5795.719,0.0,0.0,0.0,0.0
1778197120.464,5796.220,0.0,0.0,0.0,0.0
1778197120.965,5796.722,0.0,0.0,0.0,0.0
1778197121.467,5797.224,0.0,0.0,0.0,0.0
1778197121.968,5797.725,0.0,0.0,0.0,0.0
1778197122.470,5798.226,0.0,0.0,0.0,0.0
1778197122.971,5798.728,0.0,0.0,0.0,0.0
1778197123.473,5799.230,0.0,0.0,0.0,0.0
1778197123.975,5799.731,0.0,0.0,0.0,0.0
1778197124.476,5800.233,0.0,0.0,0.0,0.0
1778197124.977,5800.734,0.0,0.0,0.0,0.0
1778197125.479,5801.235,0.0,0.0,0.0,0.0
1778197125.980,5801.737,0.0,0.0,0.0,0.0
1778197126.482,5802.238,0.0,0.0,0.0,0.0
1778197126.984,5802.741,0.0,0.0,0.0,0.0
1778197127.485,5803.242,0.0,0.0,0.0,0.0
1778197127.987,5803.744,0.0,0.0,0.0,0.0
1778197128.489,5804.245,0.0,0.0,0.0,0.0
1778197128.991,5804.747,0.0,0.0,0.0,0.0
1778197129.492,5805.249,0.0,0.0,0.0,0.0
1778197129.993,5805.750,0.0,0.0,0.0,0.0
1778197130.495,5806.251,0.0,0.0,0.0,0.0
1778197130.996,5806.753,0.0,0.0,0.0,0.0
1778197131.498,5807.254,0.0,0.0,0.0,0.0
1778197131.999,5807.756,0.0,0.0,0.0,0.0
1778197132.501,5808.257,0.0,0.0,0.0,0.0
1778197133.002,5808.759,0.0,0.0,0.0,0.0
1778197133.504,5809.260,0.0,0.0,0.0,0.0
1778197134.005,5809.762,0.0,0.0,0.0,0.0
1778197134.507,5810.263,0.0,0.0,0.0,0.0
1778197135.008,5810.764,0.0,0.0,0.0,0.0
1778197135.509,5811.266,0.0,0.0,0.0,0.0
1778197135.961,5811.718,0.0,0.0,0.0,0.0
1778197136.462,5812.219,0.0,0.0,0.0,0.0
1778197136.964,5812.720,0.0,0.0,0.0,0.0
1778197137.465,5813.222,0.0,0.0,0.0,0.0
1778197137.967,5813.723,0.0,0.0,0.0,0.0
1778197138.468,5814.225,0.0,0.0,0.0,0.0
1778197138.970,5814.726,0.0,0.0,0.0,0.0
1778197139.471,5815.228,0.0,0.0,0.0,0.0
1778197139.973,5815.729,0.0,0.0,0.0,0.0
1778197140.474,5816.230,0.0,0.0,0.0,0.0
1778197140.975,5816.732,0.0,0.0,0.0,0.0
1778197141.477,5817.233,0.0,0.0,0.0,0.0
1778197141.978,5817.735,0.0,0.0,0.0,0.0
1778197142.480,5818.236,0.0,0.0,0.0,0.0
1778197142.981,5818.738,0.0,0.0,0.0,0.0
1778197143.482,5819.239,0.0,0.0,0.0,0.0
1778197143.984,5819.740,0.0,0.0,0.0,0.0
1778197144.485,5820.242,0.0,0.0,0.0,0.0
1778197144.987,5820.743,0.0,0.0,0.0,0.0
1778197145.489,5821.245,0.0,0.0,0.0,0.0
1778197145.991,5821.747,0.0,0.0,0.0,0.0
1778197146.492,5822.249,0.0,0.0,0.0,0.0
1778197146.994,5822.750,0.0,0.0,0.0,0.0
1778197147.495,5823.252,0.0,0.0,0.0,0.0
1778197147.996,5823.753,0.0,0.0,0.0,0.0
1778197148.498,5824.255,0.0,0.0,0.0,0.0
1778197148.999,5824.756,0.0,0.0,0.0,0.0
1778197149.501,5825.257,0.0,0.0,0.0,0.0
1778197150.002,5825.759,0.0,0.0,0.0,0.0
1778197150.504,5826.260,0.0,0.0,0.0,0.0
1778197151.005,5826.762,0.0,0.0,0.0,0.0
1778197151.507,5827.263,0.0,0.0,0.0,0.0
1778197152.008,5827.765,0.0,0.0,0.0,0.0
1778197152.509,5828.266,0.0,0.0,0.0,0.0
1778197152.961,5828.718,0.0,0.0,0.0,0.0
1778197153.463,5829.220,0.0,0.0,0.0,0.0
1778197153.965,5829.721,0.0,0.0,0.0,0.0
1778197154.466,5830.223,0.0,0.0,0.0,0.0
1778197154.967,5830.724,0.0,0.0,0.0,0.0
1778197155.469,5831.225,0.0,0.0,0.0,0.0
1778197155.970,5831.727,0.0,0.0,0.0,0.0
1778197156.472,5832.228,0.0,0.0,0.0,0.0
1778197156.973,5832.730,0.0,0.0,0.0,0.0
1778197157.475,5833.231,0.0,0.0,0.0,0.0
1778197157.976,5833.733,0.0,0.0,0.0,0.0
1778197158.477,5834.234,0.0,0.0,0.0,0.0
1778197158.979,5834.735,0.0,0.0,0.0,0.0
1778197159.480,5835.237,0.0,0.0,0.0,0.0
1778197159.981,5835.738,0.0,0.0,0.0,0.0
1778197160.483,5836.239,0.0,0.0,0.0,0.0
1778197160.985,5836.741,0.0,0.0,0.0,0.0
1778197161.486,5837.243,0.0,0.0,0.0,0.0
1778197161.988,5837.744,0.0,0.0,0.0,0.0
1778197162.489,5838.246,0.0,0.0,0.0,0.0
1778197162.991,5838.747,0.0,0.0,0.0,0.0
1778197163.493,5839.249,0.0,0.0,0.0,0.0
1778197163.994,5839.751,0.0,0.0,0.0,0.0
1778197164.496,5840.252,0.0,0.0,0.0,0.0
1778197164.997,5840.753,0.0,0.0,0.0,0.0
1778197165.498,5841.255,0.0,0.0,0.0,0.0
