time_unix,monotonic,rpm,duty_cycle,motor_current,input_voltage,temperature,fault_code
1778197105.170,5780.926,0.0,0.0,0.0,22.5,0.0,0
1778197105.671,5781.428,0.0,0.0,0.0,22.5,0.0,0
1778197106.173,5781.929,0.0,0.0,0.0,22.5,0.0,0
1778197106.674,5782.431,0.0,0.0,0.0,22.5,0.0,0
1778197107.176,5782.932,0.0,0.0,0.0,22.5,0.0,0
1778197107.677,5783.434,0.0,0.0,0.0,22.5,0.0,0
1778197108.128,5783.885,0.0,0.0,0.0,22.5,0.0,0
1778197108.630,5784.386,0.0,0.0,0.0,22.5,0.0,0
1778197109.131,5784.887,0.0,0.0,0.0,22.5,0.0,0
1778197109.633,5785.389,0.0,0.0,0.0,22.5,0.0,0
1778197110.134,5785.891,0.0,0.0,0.0,22.5,0.0,0
1778197110.635,5786.392,0.0,0.0,0.0,22.5,0.0,0
1778197111.137,5786.893,0.0,0.0,0.0,22.5,0.0,0
1778197111.639,5787.395,0.0,0.0,0.0,22.5,0.0,0
1778197112.140,5787.897,0.0,0.0,0.0,22.5,0.0,0
1778197112.642,5788.398,0.0,0.0,0.0,22.5,0.0,0
1778197113.143,5788.900,0.0,0.0,0.0,22.5,0.0,0
1778197113.644,5789.401,0.0,0.0,0.0,22.5,0.0,0
1778197114.146,5789.902,0.0,0.0,0.0,22.5,0.0,0
1778197114.647,5790.404,0.0,0.0,0.0,22.5,0.0,0
1778197115.149,5790.905,0.0,0.0,0.0,22.5,0.0,0
1778197115.650,5791.407,0.0,0.0,0.0,22.5,0.0,0
1778197116.152,5791.908,0.0,0.0,0.0,22.5,0.0,0
1778197116.653,5792.410,0.0,0.0,0.0,22.5,0.0,0
1778197117.155,5792.911,0.0,0.0,0.0,22.5,0.0,0
1778197117.656,5793.412,0.0,0.0,0.0,22.5,0.0,0
1778197118.157,5793.914,0.0,0.0,0.0,22.5,0.0,0
1778197118.659,5794.415,0.0,0.0,0.0,22.5,0.0,0
1778197119.160,5794.917,0.0,0.0,0.0,22.5,0.0,0
1778197119.662,5795.418,0.0,0.0,0.0,22.5,0.0,0
1778197120.163,5795.919,0.0,0.0,0.0,22.5,0.0,0
1778197120.664,5796.421,0.0,0.0,0.0,22.5,0.0,0
1778197121.166,5796.923,0.0,0.0,0.0,22.5,0.0,0
1778197121.668,5797.424,0.0,0.0,0.0,22.5,0.0,0
1778197122.169,5797.926,0.0,0.0,0.0,22.5,0.0,0
1778197122.670,5798.427,0.0,0.0,0.0,22.5,0.0,0
1778197123.172,5798.928,0.0,0.0,0.0,22.5,0.0,0
1778197123.674,5799.430,0.0,0.0,0.0,22.5,0.0,0
1778197124.175,5799.932,0.0,0.0,0.0,22.5,0.0,0
1778197124.677,5800.433,0.0,0.0,0.0,22.5,0.0,0
1778197125.128,5800.884,0.0,0.0,0.0,22.5,0.0,0
1778197125.629,5801.386,0.0,0.0,0.0,22.5,0.0,0
1778197126.131,5801.887,0.0,0.0,0.0,22.5,0.0,0
1778197126.632,5802.389,0.0,0.0,0.0,22.5,0.0,0
1778197127.134,5802.891,0.0,0.0,0.0,22.5,0.0,0
1778197127.636,5803.392,0.0,0.0,0.0,22.5,0.0,0
1778197128.138,5803.894,0.0,0.0,0.0,22.5,0.0,0
1778197128.639,5804.396,0.0,0.0,0.0,22.5,0.0,0
1778197129.141,5804.898,0.0,0.0,0.0,22.5,0.0,0
1778197129.643,5805.399,0.0,0.0,0.0,22.5,0.0,0
1778197130.144,5805.900,0.0,0.0,0.0,22.5,0.0,0
1778197130.645,5806.402,0.0,0.0,0.0,22.5,0.0,0
1778197131.147,5806.903,0.0,0.0,0.0,22.5,0.0,0
1778197131.648,5807.405,0.0,0.0,0.0,22.5,0.0,0
1778197132.150,5807.906,0.0,0.0,0.0,22.5,0.0,0
1778197132.651,5808.408,0.0,0.0,0.0,22.5,0.0,0
1778197133.153,5808.909,0.0,0.0,0.0,22.5,0.0,0
1778197133.654,5809.411,0.0,0.0,0.0,22.5,0.0,0
1778197134.156,5809.912,0.0,0.0,0.0,22.5,0.0,0
1778197134.657,5810.414,0.0,0.0,0.0,22.5,0.0,0
1778197135.158,5810.915,0.0,0.0,0.0,22.5,0.0,0
1778197135.660,5811.417,0.0,0.0,0.0,22.5,0.0,0
1778197136.162,5811.918,0.0,0.0,0.0,22.5,0.0,0
1778197136.663,5812.420,0.0,0.0,0.0,22.5,0.0,0
1778197137.164,5812.921,0.0,0.0,0.0,22.5,0.0,0
1778197137.666,5813.422,0.0,0.0,0.0,22.5,0.0,0
1778197138.167,5813.924,0.0,0.0,0.0,22.5,0.0,0
1778197138.669,5814.425,0.0,0.0,0.0,22.5,0.0,0
1778197139.170,5814.927,0.0,0.0,0.0,22.5,0.0,0
1778197139.672,5815.428,0.0,0.0,0.0,22.5,0.0,0
1778197140.173,5815.930,0.0,0.0,0.0,22.5,0.0,0
1778197140.675,5816.431,0.0,0.0,0.0,22.5,0.0,0
1778197141.176,5816.932,0.0,0.0,0.0,22.5,0.0,0
