time_unix,monotonic,flight_stage,arm_state,preflight_ok,arm_checks_ok,launch_initiated,ascent_active,termination_fired,burst_detected,descent_active,landing_detected,cutdown_fired,recovery_active,data_logging_active,apogee_m
1778197249.831,5925.588,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778197250.333,5926.089,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778197250.834,5926.591,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778197251.336,5927.092,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778197251.837,5927.594,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778197252.339,5928.096,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778197252.841,5928.598,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778197253.292,5929.049,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778197253.794,5929.550,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778197254.295,5930.052,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778197254.796,5930.553,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778197255.298,5931.055,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778197255.799,5931.556,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778197256.301,5932.057,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778197256.802,5932.559,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778197257.304,5933.060,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778197257.805,5933.562,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778197258.307,5934.063,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778197258.808,5934.564,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778197259.309,5935.066,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778197259.811,5935.568,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778197260.313,5936.069,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778197260.814,5936.571,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778197261.316,5937.072,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778197261.817,5937.573,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778197262.318,5938.075,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778197262.820,5938.576,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778197263.321,5939.078,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778197263.823,5939.579,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778197264.324,5940.081,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778197264.826,5940.582,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778197265.328,5941.084,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778197265.829,5941.586,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778197266.331,5942.087,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778197266.832,5942.588,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778197267.333,5943.090,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778197267.835,5943.591,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778197268.336,5944.093,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778197268.838,5944.594,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778197269.339,5945.096,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778197269.841,5945.598,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778197270.293,5946.049,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778197270.794,5946.550,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778197271.295,5947.052,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778197271.797,5947.553,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
